A Plague Tale: Innocence;2019;Asobo Studio
Assassin's Creed;2007;Ubisoft
Assassin's Creed IV: Black Flag;2013;Ubisoft
Assassin's Creed Origins;2017;Ubisoft
Crash Team Racing Nitro-Fueled;2019;Beenox
Cyberpunk 2077;2020;CD Projekt
Dante's Inferno;2010;Electronic Arts
Dead Space;2008;Visceral Games
Death Stranding;2019;Kojima Productions
Diablo III;2012;Blizzard Entertainment
DmC: Devil May Cry;2013;Ninja Theory
Dragon Quest VII;2000;Square Enix
Fable;2004;Lionhead Studios
Fable II;2008;Lionhead Studios
Far Cry 6;2021;Ubisoft
Final Fantasy IX;2000;Square Enix
God of War II;2007;Santa Monica Studio
Gwent: The Witcher Card Game;2016;CD Projekt
Hearthstone;2014;Blizzard Entertainment
LittleBigPlanet;2008;Media Molecule
Mega Man ZX Advent;2007;Capcom
Microsoft Flight Simulator;2020;Asobo Studio
Overwatch;2016;Blizzard Entertainment
Paper Mario;2000;Nintendo
Rayman Legends;2013;Ubisoft
Sekiro : Shadows Die Twice;2019;FromSoftware
Spore;2008;Maxis
Super Mario Galaxy;2007;Nintendo
Super Mario Galaxy 2;2010;Nintendo
The Darkness;2007;Starbreeze Studios
The Legend of Zelda: Majora's Mask;2000;Nintendo
The Witcher 3: Wild Hunt;2015;CD Projekt
Watch Dogs: Legion;2020;Ubisoft
World of Warcraft;2004;Blizzard Entertainment
